outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,n_outlets_at_postal,shared_postal
Sheng Siong Jalan Berseh,209037,Authorised Retailer,0,9,9,matched,1,0
Sheng Siong Clementi Avenue 6,121209,Authorised Retailer,0,1,1,matched,1,0
Sheng Siong Canberra Street,750105,Authorised Retailer,0,4,4,matched,1,0
Shell Station Tuas South Avenue 5,637365,Authorised Retailer,0,4,4,matched,1,0
Seng Yeok Chan Agency,560338,Authorised Retailer,0,29,29,matched,1,0
Rangoon Betting Centre - Lottery Lobby (Public),210677,Betting Centre,0,6,6,matched,2,1
Prime Century Square,529509,,0,15,15,scraped,2,1
Prime Bidadari,340106,,0,1,1,scraped,1,0
Poon Long Heng,760716,,0,2,2,scraped,1,0
NTUC FP Punggol Walk,823308,,0,7,7,scraped,2,1
NTUC FairPrice The Woodgrove,739065,Authorised Retailer (FairPrice),0,17,17,matched,1,0
NTUC FairPrice Tampines North Drive 2,520633,Authorised Retailer (FairPrice),0,1,1,matched,1,0
NTUC FairPrice Sengkang East Drive,542170,Authorised Retailer (FairPrice),0,1,1,matched,1,0
NTUC FairPrice Killiney Road,239571,Authorised Retailer (FairPrice),0,19,19,matched,1,0
NTUC FairPrice Greenridge Shopping Centre,671524,Authorised Retailer (FairPrice),0,1,1,matched,2,1
Majestic Betting Centre - Lottery Lobby (Public),059810,Livewire,0,6,6,matched,3,1
Lee Wah TV & Electric Co,389561,,0,14,14,scraped,1,0
Keppel Credit Union Co-operative Ltd,150001,,0,7,7,scraped,1,0
Jurong East Betting Centre - Lottery Lobby (Public),600352,Betting Centre,0,2,2,matched,4,1
Hao Mart Westgate,608532,,0,1,1,scraped,1,0
Hao Mart Punggol Walk,823308,,0,4,4,scraped,2,1
Giant Tanjong Katong,400845,,0,2,2,scraped,1,0
Giant Plantation Plaza,690127,Authorised Retailer,0,2,2,matched,1,0
Geylang International FC,469642,,0,2,2,scraped,1,0
Fortune Supermarket Sembawang Drive,750463,Authorised Retailer,0,1,1,matched,1,0
Food Republic i12 Katong,428802,,0,2,2,scraped,1,0
Cold Storage Aperia Mall,339511,Authorised Retailer,0,2,2,matched,1,0
Choice Decor Co-Operative Society Ltd,570022,,0,18,18,scraped,1,0
China Square Betting Centre - Level 2,048441,,0,1,1,scraped,2,1
Cheers Woodlands Centre,731005,,0,4,4,scraped,1,0
Cheers Northshore Plaza II,820418,Authorised Retailer,0,6,6,matched,1,0
Cheers Maude Rd,208358,,0,2,2,scraped,1,0
Bukit Merah Betting Centre,150169,Betting Centre,0,1,1,matched,3,1
Bedok Betting Centre - Lottery Lobby (Public),460215,Betting Centre,0,4,4,matched,2,1
ACE Signature Geylang Road,389409,Authorised Retailer,0,2,2,matched,1,0
7-Eleven Store Tai Thong Crescent,347857,,0,6,6,scraped,1,0
7-Eleven Store Esplanade MRT Station,189562,Authorised Retailer (7-Eleven),0,11,11,matched,1,0
7-Eleven Store Bedok Road,469539,,0,3,3,scraped,1,0
7-Eleven Kim Tian,169247,,0,1,1,scraped,1,0
3 Block 47 Holland Drive #01-385 OCB- Holland Driv,270047,Betting Centre,0,0,0,gra_only,2,1
5 The Majestic/ 80 Eu Tong Sen Street #01/#02 OCB,059810,Betting Centre,0,0,0,gra_only,3,1
6 Block 677 Rangoon Road #02-00/#03-00/#04-00 OCB-,210677,Betting Centre,0,0,0,gra_only,2,1
7 Block 267 Serangoon Avenue 3 #02-01/#03-02 OCB -,550267,Betting Centre,0,0,0,gra_only,2,1
51 Lot 1 Shoppers' Mall/ 21 Choa Chu Kang Avenue 4,689812,Branch,0,0,0,gra_only,3,1
82 Block 215 Bedok North Street 1 #02-87 OCB - Bed,460215,Betting Centre,0,0,0,gra_only,2,1
83 Connection ONE Tower 2/ Block 169 Jalan Bukit M,150169,Betting Centre,0,0,0,gra_only,3,1
85 The Majestic/ 80 Eu Tong Sen Street #01 OCB - M,059810,Betting Centre,0,0,0,gra_only,3,1
88 Singapore Pools/210 Middle Road #01-01 Singapor,188994,Lottery Lobby,0,0,0,gra_only,2,1
108 LIV@Changi/ 933 Upper Changi Road North #01-01,506785,Authorised Retailer,0,0,0,gra_only,1,0
109 New Tech Park/151 Lorong Chuan #01-22 ACE Sign,556741,Authorised Retailer,0,0,0,gra_only,1,0
212 SingPost Centre/ 10 Eunos Road 8 #B1-101 to 10,408600,Authorised Retailer (FairPrice),0,0,0,gra_only,1,0
254 11 Bukit Batok West Avenue 3 Shell Station Buk,659166,Authorised Retailer,0,0,0,gra_only,1,0
258 Block 212 Bidadari Park Drive #03-10 Sheng Sio,360212,Authorised Retailer,0,0,0,gra_only,1,0
276 Block 352 Jurong East Street 31 #01-121 Tan Ah,600352,Authorised Retailer,0,0,0,gra_only,4,1
290 Block 537 Bedok North Street 3 #01-573 Tan Wee,460537,Authorised Retailer,0,0,0,gra_only,1,0
291 33 Jalan Buroh Smart Energy Jalan Buroh 619487,619487,Authorised Retailer,0,0,0,gra_only,1,0
292 50 Old Toh Tuck Road Cnergy Old Toh Tuck Road,597657,Authorised Retailer,0,0,0,gra_only,1,0
293 Block 215C Compassvale Drive #01-01 U Stars Co,543215,Authorised Retailer,0,0,0,gra_only,1,0
