outlet_name,draw_date,draw_number,prize_amount,bet_type,prize_group,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
Teo Sook Cheng Agency,06/06/2019,3481,2670599.0,system 7,1,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,25/04/2019,3469,158092.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,11/04/2019,3465,813439.0,QP ordinary,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,17/12/2018,3432,151910.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,24/09/2018,3408,749202.0,QP ordinary,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,14/05/2018,3370,157222.0,QP system 7,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,05/04/2018,3359,303815.0,QP system 7,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,18/01/2018,3337,112719.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,16/11/2017,3319,186186.0,QP ordinary,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,04/09/2017,3298,2311781.0,QP system 12 iTOTO,1,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,27/03/2017,3252,2138384.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
Teo Sook Cheng Agency,06/03/2017,3246,260299.0,QP system 12 iTOTO,2,760293,Authorised Retailer,YISHUN,NORTH REGION,residential,221610,1,0,1.43611425409216,103.837605235958,438840,31707,33665,115007,24455,85,0.9037,1053516,550424,42669,198397,84650,233,0.6528,2519163,557385,201084,422625,249958,485,0.7993,11.0,24,96,120,1329,4160,2854,233.0,550424.0,527.5621906275151,0,1505662.492050928,0.005839791500462239,107.70911443452553,0.04204625087596356,0.006506180871828237,1.1842869606041737,664982.0,94.21108547369911,2.6569419076391547
