outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
NTUC FairPrice Sengkang East Ave,540279,Authorised Retailer (FairPrice),SENGKANG,NORTH-EAST REGION,residential,249370,1,0,1.38621835522425,103.89299549602,485973,25149,37256,34300,23395,120,0.9202,1610897,171329,80867,429941,105802,402,0.8863,3429776,175836,157054,882982,428465,819,0.9324,11.0,2,10,12,3119,4107,1064,402.0,171329.0,493.68758186056846,1,525283.5870996448,0.002037340136632071,37.57670148004192,0.011278195488721804,0.0006506180871828237,-4.172392992100065,427728.0,60.598210428995635,-6.242957490421166
NTUC FairPrice Sengkang East Drive,542170,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,mixed,174450,1,0,1.38671838587829,103.909029340508,308230,0,0,6739,46472,79,1.0,1010874,639684,37888,161578,151075,252,0.6099,2495583,1785241,64480,341070,248365,566,0.5817,11.0,0,1,1,4066,4066,117,252.0,639684.0,594.3301315883234,1,69536.62539583383,0.0002697014743352468,4.9743739926392925,0.008547008547008548,5.421817393190197e-05,-1.7819664176229297,29484.0,4.177135086523462,-1.5545203815598634
NTUC FairPrice Senja Road,670628,Authorised Retailer (FairPrice),CHOA CHU KANG,WEST REGION,residential,192070,1,0,1.38512867383046,103.760410617887,560731,3916,0,51639,35694,95,0.9931,1294613,15415,80215,264506,118166,249,0.9601,2539902,297787,125943,495909,436211,482,0.8783,11.0,4,20,24,2282,4042,1901,249.0,15415.0,257.2494153026088,1,489031.1384902593,0.00189673309994375,34.983345295362525,0.01262493424513414,0.0013012361743656475,-1.8569660715268759,473349.0,67.06154918161695,-5.258390795188773
NTUC FairPrice Serangoon North Avenue 1,552152,Authorised Retailer (FairPrice),SERANGOON,NORTH-EAST REGION,residential,116900,1,0,1.36979940374161,103.87303579046,533701,2480,47464,57679,40082,99,0.9551,1410210,484587,62925,184545,91083,169,0.7364,3607942,786913,67066,391517,384603,314,0.8161,11.0,19,50,69,1243,4179,2940,169.0,484587.0,428.3291867171773,0,1259287.8089485012,0.004884214279201444,90.08444816559143,0.02346938775510204,0.003741054001301236,-2.2214540151963695,496860.0,70.39246164326575,-0.1659663964666966
NTUC FairPrice Sun Plaza,757713,Authorised Retailer (FairPrice),SEMBAWANG,NORTH REGION,residential,102640,1,0,1.44819666623789,103.819498634275,366454,0,8564,51604,91875,120,0.9886,1403712,314067,8564,162739,254069,260,0.8156,3204002,862580,44544,365067,291186,379,0.7848,11.0,17,70,87,1868,4152,2315,260.0,314067.0,428.0745453029151,0,990992.5723762484,0.003843617033523259,70.89167256630299,0.03758099352051836,0.0047169811320754715,1.9131668075069268,601900.0,85.27396583158567,0.1869137101591543
NTUC FairPrice Tai Seng,539775,Authorised Retailer (FairPrice),GEYLANG,CENTRAL REGION,commercial,110110,1,0,1.33631557522577,103.888825620348,12672,495283,0,22643,4916,0,0.0249,490447,1405485,0,114535,30175,49,0.2587,1602105,2554496,10093,656065,100838,171,0.3857,11.0,2,16,18,3298,4128,885,49.0,1405485.0,801.1524143099009,1,709019.8866642623,0.002749971078950546,50.72046658016387,0.020338983050847456,0.0009759271307742355,-4.594390104769718,43365.0,6.1437207647228975,4.783355785352164
NTUC FairPrice Tampines Mall,529510,Authorised Retailer (FairPrice),TAMPINES,EAST REGION,residential,259900,1,0,1.35250468330971,103.944682574769,265893,169877,35313,40700,117067,56,0.6019,1593682,169877,129050,284780,317109,310,0.8761,3646360,352505,251320,526070,570224,760,0.8875,11.0,26,99,125,1446,4162,2737,310.0,169877.0,400.91053670848356,0,1097292.1389711194,0.004255905517018636,78.49592135589172,0.04567044208987943,0.006777271741487747,5.248890329373023,848470.0,120.20668182277038,0.43719174552528356
NTUC FairPrice Tampines North Drive 2,520633,Authorised Retailer (FairPrice),PASIR RIS,EAST REGION,residential,147110,1,0,1.36551980812276,103.941330282181,436667,0,23836,41756,177547,71,0.9741,1378500,80872,23836,159568,328018,230,0.9374,2837818,819548,127651,465006,480757,621,0.7666,11.0,0,1,1,4100,4100,83,230.0,80872.0,273.2790602888471,1,22682.16200397431,8.797396334319815e-05,1.6225917799019467,0.012048192771084338,5.421817393190197e-05,-0.4887634780945994,19090.0,2.7045688780943187,-1.0364909912614582
NTUC FairPrice Tampines Street 11,521107,Authorised Retailer (FairPrice),TAMPINES,EAST REGION,residential,259900,1,0,1.34836421842072,103.948158723814,485200,0,49225,87920,54397,66,0.9539,1592722,270267,129050,272190,212804,271,0.8319,3509238,608565,152946,563196,428462,598,0.8396,11.0,9,35,44,1237,4124,2946,271.0,270267.0,415.634753525149,1,1224459.983885089,0.004749132720180964,87.5930038910177,0.01493550577053632,0.0023855996530036867,-4.657813402183657,798366.0,113.10821565891298,-6.498043348917998
NTUC FairPrice Tampines Street 44,520475,Authorised Retailer (FairPrice),PASIR RIS,EAST REGION,residential,147110,1,0,1.36032331939995,103.953129640464,494150,0,48538,44221,27760,127,0.9553,1705787,0,90540,287130,188184,399,0.9748,3827371,173261,175717,472840,496404,752,0.9375,11.0,13,34,47,1278,4058,2905,399.0,0.0,399.0,1,1159095.0,0.004495611177780024,82.91705256297477,0.016179001721170396,0.0025482541747993926,-3.9443801293538714,1159095.0,164.2143668808137,-9.146928219685881
NTUC FairPrice Tampines Street 83,521866,Authorised Retailer (FairPrice),PAYA LEBAR,EAST REGION,residential,40,1,0,1.35536454193962,103.934477898052,656319,4495,0,85714,44358,134,0.9932,1396570,537393,49837,273327,136825,334,0.7165,2421969,963073,135391,763789,545075,515,0.7072,12.0,4,32,36,2300,4160,1883,334.0,537393.0,621.5885849960978,0,1170451.305547652,0.0045396572086561044,83.72943755645319,0.019118428040361127,0.001951854261548471,-5.216115864519305,628922.0,89.10229795436537,-5.625600178785478
NTUC FairPrice Tanjong Pagar Plaza,081005,Authorised Retailer (FairPrice),OUTRAM,CENTRAL REGION,mixed,18340,1,0,1.27624052001347,103.843006115698,152531,218874,30056,29815,25252,36,0.4174,322035,578995,95367,214961,182957,60,0.3711,755213,942532,123894,456868,345083,118,0.4486,11.0,27,54,81,1270,4174,2913,60.0,578995.0,369.85210594446835,0,1077379.1846162362,0.004178672071804537,77.07142769236287,0.027806385169927908,0.00439167208848406,0.4474948575958637,174780.0,24.761893583725772,11.301569569478328
NTUC FairPrice Telok Blangah Street 32,101078,Authorised Retailer (FairPrice),BUKIT MERAH,CENTRAL REGION,residential,151250,1,0,1.27338251992557,103.808934807512,449548,0,25938,55327,5972,68,0.9727,1173989,111532,25938,65405,486326,97,0.9051,1604662,732518,80017,205793,1609047,157,0.6804,11.0,14,25,39,1314,4172,2869,97.0,111532.0,156.68691453328344,0,449534.7577959902,0.0017435443013284412,32.15793109370177,0.013593586615545486,0.002114508783344177,1.206544636750949,278293.0,39.42706059672615,-0.06801305805785504
NTUC FairPrice The Woodgrove,739065,Authorised Retailer (FairPrice),WOODLANDS,NORTH REGION,residential,255130,1,0,1.42898765704375,103.780916973423,460461,0,10000,45578,75855,42,0.9894,1247779,75806,51197,358365,228141,195,0.9262,2266829,198670,66387,521489,3299730,364,0.9084,12.0,5,28,33,1864,4156,2319,195.0,75806.0,235.56796473756486,0,546282.1102264129,0.002118784017664748,39.07885242180861,0.014230271668822769,0.0017891997397527651,-0.9724128720763158,452205.0,64.06598059290945,-3.8812474097675236
NTUC FairPrice The Woodleigh Mall,367803,Authorised Retailer (FairPrice),TOA PAYOH,CENTRAL REGION,residential,121850,1,0,1.33869419209869,103.871750105256,358004,0,25441,63736,132981,57,0.9668,1553009,2427,62410,519860,167722,161,0.9792,2998331,655735,116998,787897,242954,240,0.8106,11.0,2,18,20,3892,4177,291,161.0,2427.0,162.29882133891869,0,47228.95700962534,0.0001831800042682989,3.378571998724505,0.06872852233676977,0.0010843634786380394,9.04277538654494,46851.0,6.637598559853164,5.186555427799065
