outlet_name,merged_from,n_merged,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,pa_area_sqkm,pa_population_density,n_outlets_at_postal,shared_postal,merge_group,merge_role,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
NTUC FairPrice New Upper Changi Road,NTUC FairPrice New Upper Changi Road,1,461057,Authorised Retailer (FairPrice),BEDOK,EAST REGION,residential,276990,21.734,12744.6,1,0,,unique,1.32424554153984,103.941568704132,582172,0,30407,32812,25031,52,0.9752,2088361,0,91806,113196,162684,198,0.9789,3640692,487933,308732,428720,290273,298,0.8553,11.0,14,52,66,1459,4179,2724,198.0,0.0,198.0,0,539352.0,0.0021364676388870283,39.40500913163235,0.024229074889867842,0.0035783994795055302,4.236665042033389,539352.0,77.36482946205295,-1.2920851552805899
NTUC FairPrice Parkway Parade,Giant Parkway Parade | NTUC FairPrice Parkway Parade,2,449269,Authorised Retailer (FairPrice),MARINE PARADE,CENTRAL REGION,residential,46220,6.1331,7536.2,2,1,449269,replacement_merged,1.301041960873,103.905505005847,258680,110610,14136,5616,14876,23,0.6931,1107774,155182,28577,80470,437881,46,0.8688,2433852,188743,32444,220720,489596,79,0.9228,12.0,13,62,75,2296,4169,1887,46.0,155182.0,127.15949426101349,0,239949.96567053246,0.0009504837964949532,17.53072314255292,0.0397456279809221,0.004066363044892648,13.725741543204729,86802.0,12.450907620561562,17.726398439206633
NTUC FairPrice Paya Lebar Quarter,NTUC FairPrice Paya Lebar Quarter,1,409057,Authorised Retailer (FairPrice),GEYLANG,CENTRAL REGION,residential,110110,9.6448,11416.5,1,0,,unique,1.31770886898996,103.893414663597,146441,232667,24141,26125,12689,12,0.3931,1079869,517432,70685,145295,52408,110,0.6686,3157525,1079089,72937,500310,111672,308,0.7411,12.0,1,6,7,3732,4178,451,110.0,517432.0,380.6146294961061,0,171657.19790274385,0.0006799641946284403,12.541259605726953,0.015521064301552107,0.0003795272175233138,-1.5647246280247369,49610.0,7.116074826110679,-0.043512875959177605
NTUC FairPrice Punggol Oasis Terraces,NTUC FairPrice Punggol Oasis Terraces,1,820681,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,residential,174450,9.3743,18609.4,1,0,,unique,1.40287845827053,103.913195741417,385716,13270,0,96478,38924,115,0.9667,1679908,104441,0,232690,317951,362,0.9415,2787838,247405,100260,566256,1009967,559,0.9051,12.0,4,20,24,3391,4156,792,362.0,104441.0,416.6221774439981,0,329964.7645356465,0.0013070481640994878,24.107196338650954,0.030303030303030304,0.0013012361743656475,-0.021832657386228804,286704.0,41.12491668907954,-2.670397740032734
NTUC FairPrice Punggol Plaza,NTUC FairPrice Punggol Plaza,1,820168,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,residential,174450,9.3743,18609.4,1,0,,unique,1.39423719717117,103.913047323223,469070,7910,26592,146896,39395,94,0.9579,1585139,21180,49128,263731,185688,373,0.9724,2903001,1392869,49128,421198,411123,666,0.6738,11.0,6,58,64,2154,4170,2029,373.0,21180.0,384.0770455880725,0,779292.3254981991,0.0030869132489726916,56.935027964052324,0.031542631838344014,0.003469963131641726,0.9363121910286177,756817.0,108.5580810657651,-4.2765681809607825
NTUC FairPrice Rivervale Mall,NTUC FairPrice Rivervale Mall,1,545082,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,residential,174450,9.3743,18609.4,1,0,,unique,1.39250410994833,103.904483668323,561801,0,22536,41290,6533,121,0.9807,1891610,19667,64974,261525,181405,473,0.9736,3536697,25597,135244,612691,365685,918,0.9748,0.0,12,34,46,1752,4087,2431,473.0,19667.0,483.2857533324184,1,1174867.666351109,0.004653856385317691,85.83572717079949,0.018922254216371864,0.002494036000867491,-4.2997054357028865,1149863.0,164.9367294451946,-9.260987599225425
NTUC FairPrice Seletar Mall,NTUC Foodfare - Seletar Mall | NTUC FairPrice Seletar Mall,2,797653,Authorised Retailer (FairPrice),SENGKANG,NORTH-EAST REGION,residential,249370,10.603,23518.7,2,1,797653,replacement_merged,1.39130622992517,103.876085067727,435952,9253,0,76410,37766,127,0.9792,1537848,117340,41450,169108,119444,246,0.9186,2734140,477904,79749,488617,471670,375,0.8427,12.0,4,19,23,3285,4124,898,246.0,117340.0,307.36829694544036,1,276016.73065700545,0.0010933505629720282,20.16575778345609,0.025612472160356347,0.0012470180004337454,0.6311457896750928,220908.0,31.687116663706064,-1.5432429174930367
NTUC FairPrice Sengkang East Ave,NTUC FairPrice Sengkang East Ave,1,540279,Authorised Retailer (FairPrice),SENGKANG,NORTH-EAST REGION,residential,249370,10.603,23518.7,1,0,,unique,1.38621835522425,103.89299549602,485973,25149,37256,34300,23395,120,0.9202,1610897,171329,80867,429941,105802,402,0.8863,3429776,175836,157054,882982,428465,819,0.9324,11.0,2,10,12,3119,4107,1064,402.0,171329.0,491.60430328417715,1,523066.9786943645,0.002071959820211885,38.215226923988006,0.011278195488721804,0.0006506180871828237,-4.240679003977891,427728.0,61.35344594280726,-6.300833466774271
NTUC FairPrice Sengkang East Drive,NTUC FairPrice Sengkang East Drive,1,542170,Authorised Retailer (FairPrice),PUNGGOL,NORTH-EAST REGION,mixed,174450,9.3743,18609.4,1,0,,unique,1.38671838587829,103.909029340508,308230,0,0,6739,46472,79,1.0,1010874,639684,37888,161578,151075,252,0.6099,2495583,1785241,64480,341070,248365,566,0.5817,11.0,0,1,1,4066,4066,117,252.0,639684.0,586.5518805458246,1,68626.57002386148,0.0002718418510060122,5.013851099954889,0.008547008547008548,5.421817393190197e-05,-1.7925675960867973,29484.0,4.229194722294845,-1.5702376749021938
NTUC FairPrice Senja Road,NTUC FairPrice Senja Road,1,670628,Authorised Retailer (FairPrice),CHOA CHU KANG,WEST REGION,residential,192070,6.1173,31397.9,1,0,,unique,1.38512867383046,103.760410617887,560731,3916,0,51639,35694,95,0.9931,1294613,15415,80215,264506,118166,249,0.9601,2539902,297787,125943,495909,436211,482,0.8783,11.0,4,20,24,2282,4042,1901,249.0,15415.0,257.06197628612546,1,488674.8169199245,0.0019357264500520293,35.70253864475963,0.01262493424513414,0.0013012361743656475,-1.9585313831590196,473349.0,67.89733728814078,-5.327357064681174
NTUC FairPrice Serangoon North Avenue 1,NTUC FairPrice Serangoon North Avenue 1,1,552152,Authorised Retailer (FairPrice),SERANGOON,NORTH-EAST REGION,residential,116900,10.1005,11573.6,1,0,,unique,1.36979940374161,103.87303579046,533701,2480,47464,57679,40082,99,0.9551,1410210,484587,62925,184545,91083,169,0.7364,3607942,786913,67066,391517,384603,314,0.8161,11.0,19,50,69,1243,4179,2940,169.0,484587.0,422.4368409059153,0,1241964.312263391,0.004919637939236935,90.73780215128603,0.02346938775510204,0.003741054001301236,-2.2820308114711256,496860.0,71.26976291274646,-0.268861017857458
NTUC FairPrice Sun Plaza,NTUC FairPrice Sun Plaza,1,757713,Authorised Retailer (FairPrice),SEMBAWANG,NORTH REGION,residential,102640,12.6362,8122.7,1,0,,unique,1.44819666623789,103.819498634275,366454,0,8564,51604,91875,120,0.9886,1403712,314067,8564,162739,254069,260,0.8156,3204002,862580,44544,365067,291186,379,0.7848,11.0,17,70,87,1868,4152,2315,260.0,314067.0,424.2556410155413,0,982151.8089509781,0.0038904751559243685,71.75592377586905,0.03758099352051836,0.0047169811320754715,1.7995844497258855,601900.0,86.33673529199794,0.07138206018304595
