outlet_name,neighborhood_type,wins,expected_wins,std_residual,p_two,p_adj,significant
NTUC FairPrice Tampines Street 11,residential,44,87.6,-4.66,3.961066634311075e-07,1.6236020380198144e-06,True
Premier Security Co-operative Ltd,residential,30,68.7,-4.67,2.4958084788338087e-07,1.057882457505694e-06,True
A.P. Mini Mart - Lorong 8 Toa Payoh,residential,29,67.3,-4.67,2.3638089696261933e-07,1.0134491329546784e-06,True
Prime Serangoon North,residential,15,47.4,-4.71,7.718135848156127e-08,3.6441324953952346e-07,True
NTUC FairPrice Changi Business Park,commercial,33,73.4,-4.71,2.054725393678869e-07,9.233886407737568e-07,True
Yeo Soon Huat,residential,38,80.3,-4.72,2.315885566171663e-07,1.0134491329546784e-06,True
Chua Yan Kee,residential,40,84.9,-4.88,8.632622491404006e-08,4.024960236617118e-07,True
NTUC FP Hougang Point,residential,35,81.2,-5.12,1.2649849493142854e-08,6.291191814589713e-08,True
Papillon Florist Pte Ltd,residential,33,79.0,-5.18,7.8085618333818e-09,3.9898541970567284e-08,True
NTUC FairPrice Tampines Street 83,residential,36,83.7,-5.22,6.739023070758691e-09,3.5403600075957635e-08,True
NTUC FairPrice Joo Koon,commercial,28,73.0,-5.27,3.045732029151105e-09,1.7213000710202457e-08,True
Balestier Khalsa Football Club,residential,21,62.7,-5.27,1.855430336148669e-09,1.0813679927866461e-08,True
NTUC FairPrice Kallang Bahru,mixed,50,104.5,-5.33,4.7515198012223555e-09,2.5685751968926646e-08,True
NTUC FairPrice Yung Kuang Road,mixed,52,107.5,-5.35,4.177535614096885e-09,2.2915011530266736e-08,True
Superbowl Jurong Pte Ltd,commercial,61,121.7,-5.5,1.727245728010618e-09,1.0226391373777151e-08,True
7-Eleven Store Foch Road,mixed,30,79.4,-5.54,3.8774769860101587e-10,2.4104981929696486e-09,True
Bukit Merah Betting Centre,residential,9,48.5,-5.67,8.520674437349536e-12,6.231787382610542e-11,True
Bukit Merah Betting Centre - Lottery Lobby (Public),residential,8,47.8,-5.75,2.9062734128449495e-12,2.168348727601618e-11,True
7-Eleven Erskine Rd,commercial,29,80.6,-5.75,6.489677122764961e-11,4.401181030529692e-10,True
Keppel Credit Union Co-operative Ltd,residential,23,71.8,-5.76,3.5968988451115746e-11,2.531402394767202e-10,True
Rangoon Betting Centre - Lottery Lobby (Public),residential,9,52.7,-6.02,2.6773190733510016e-13,2.322418638046334e-12,True
China Square Betting Centre - Lottery Lobby (Public),commercial,7,50.4,-6.12,4.7938762482305554e-14,4.579956319578627e-13,True
7-Eleven Kim Tian,residential,15,66.2,-6.3,6.923817231627177e-14,6.298984944870578e-13,True
The Little Plaza,mixed,38,101.5,-6.3,8.764186124145019e-13,6.810502967304359e-12,True
Lim Heng Ee Trading Pte. Ltd.,mixed,41,106.9,-6.38,5.421546180842434e-13,4.302631330753676e-12,True
Cheers Maude Rd,mixed,4,50.3,-6.53,8.142816564498507e-17,9.491470557993573e-16,True
Singapore Pools Pasir Ris N7 Branch,mixed,69,149.2,-6.57,3.300260513832138e-13,2.797720844680426e-12,True
Singapore Pools Circuit Road 64 Branch,mixed,39,110.8,-6.82,6.18798875020588e-15,6.238161631964306e-14,True
Bedok Betting Centre - Lottery Lobby (Public),residential,7,61.5,-6.95,2.871293649770419e-18,3.693077694359884e-17,True
NTUC FP Jurong Point,mixed,69,155.7,-6.95,9.374099003210707e-15,9.201418232098932e-14,True
Nalayanee Trading Enterprise,commercial,47,133.3,-7.48,1.0926468529545856e-17,1.3585242538402016e-16,True
Tay Ah Tho Trading,mixed,55,148.2,-7.65,2.7452111993321645e-18,3.6570134905389196e-17,True
Singapore Pools Jurong West N2 Branch,mixed,45,133.4,-7.65,1.2521439332489931e-18,1.7298136559328682e-17,True
Wong Teck Chow Enterprise (Private) Limited,commercial,26,114.6,-8.28,3.778894262593145e-23,7.41856610498549e-22,True
Chop Yeo Thong Heng,mixed,34,129.4,-8.39,3.7758163852570593e-23,7.41856610498549e-22,True
Tuas View,commercial,47,341.1,-15.92,7.06465526382112e-89,8.783721378017593e-87,True
