outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb,wins,reliable,p_two,sig
Singapore Pools Serangoon Central Branch,550254,Branch,SERANGOON,NORTH-EAST REGION,residential,116900.0,1,0,1.35406229913885,103.871216925982,489632,0,83592,11685,73202,85,0.9271,1938751,19983,107199,233348,112832,144,0.9644,4491553,81356,110969,411788,254081,204,0.9708,12.0,20,68,88,1900,4160,2283,144.0,19983.0,154.69400363230824,0,353166.4102925597,0.0013697745756194,25.26412227272595,0.0385457731055628,0.0047711993060073,12.4814163725612,328752.0,46.57582125779274,6.069789727896664,88,True,4.2198055589975844e-22,True
Singapore Pools Ang Mo Kio N6 Branch,560630,Branch,ANG MO KIO,NORTH-EAST REGION,residential,162280.0,1,0,1.38054138917049,103.841068277331,517575,0,34418,107402,27782,55,0.9688,1259102,107319,88747,588702,371407,91,0.8958,2669416,437226,214311,749438,518315,215,0.8361,12.0,14,71,85,1807,4168,2376,91.0,107319.0,148.43230625109786,0,352675.1596526085,0.0013678692340659,25.22898015311157,0.0357744107744107,0.0046085447842116,11.899831681729362,216216.0,30.63232396783872,9.823150458678256,85,True,1.606406862312176e-20,True
Singapore Pools Teck Whye Branch,680141,Branch,CHOA CHU KANG,WEST REGION,residential,192070.0,1,0,1.38041161319004,103.75257991701,440268,0,39224,95245,21578,96,0.9591,1341046,24169,81634,349117,174558,206,0.9551,2998090,49670,158144,542807,472560,477,0.9598,12.0,21,81,102,1609,4160,2574,206.0,24169.0,218.9341627277815,0,563536.5348613096,0.0021857062149434,40.31316542841775,0.0396270396270396,0.005530253741054,9.715586771015726,530244.0,75.1221278258902,3.1010655313938367,102,True,6.024115220664025e-16,True
Singapore Pools Whampoa Drive Branch,320088,Branch,TOA PAYOH,CENTRAL REGION,residential,121850.0,1,0,1.32324726968904,103.855171553668,439475,38363,42818,61971,27351,63,0.8852,1627513,68751,70154,300164,227197,217,0.9412,2989496,672288,167922,757400,398307,400,0.8025,12.0,21,83,104,1848,4169,2335,217.0,68751.0,253.7924457651416,0,592605.3608616055,0.0022984511919228,42.39263378382477,0.0445396145610278,0.0056386900889178,9.462098024907023,506695.0,71.78583172792041,3.802135189032963,104,True,2.179204306898006e-15,True
Singapore Pools Bukit Panjang Branch,670257,Branch,BUKIT PANJANG,WEST REGION,residential,138270.0,1,0,1.37850873559017,103.773212348159,388738,3232,30420,55940,103748,80,0.9563,1284674,3232,43309,116866,1091945,231,0.9813,2333586,14731,117139,388545,1320600,380,0.9703,12.0,20,82,102,1580,4171,2603,231.0,3232.0,232.72962116497123,0,605795.2038924202,0.0023496086947698,43.33618276633565,0.0391855551286976,0.005530253741054,8.9113805861839,601293.0,85.18796932508994,1.8215078231385289,102,True,4.911481307859117e-14,True
Singapore Pools Clementi N3 Branch,120325,Branch,CLEMENTI,WEST REGION,residential,91990.0,1,0,1.315096685325,103.766817400667,504801,3788,57538,41245,10107,96,0.9425,1507523,3788,151120,273569,168708,199,0.9523,3313731,332565,202558,928936,346522,252,0.8873,12.0,13,74,87,1749,4160,2434,199.0,3788.0,201.0271673802324,0,489300.1254034856,0.0018977763798938,35.002587550762414,0.0357436318816762,0.0047169811320754,8.788841999633464,484366.0,68.62237869078223,2.2184845784029483,87,True,2.1412814080792584e-13,True
PFG Framing & Trading,640960,Authorised Retailer,JURONG WEST,WEST REGION,residential,262730.0,1,0,1.34138531163603,103.691459639611,494287,0,30125,71758,65460,99,0.9713,1211432,118298,40280,179533,110616,275,0.899,2031681,853034,40280,2073480,224124,424,0.7015,11.0,22,95,117,1917,4177,2266,275.0,118298.0,338.30777369237853,0,766605.4151869297,0.0029733195928384,54.83990657031197,0.0516328331862312,0.0063435263500325,8.39389061590512,623150.0,88.28455193213591,3.0561399545775547,117,True,4.252987918762664e-13,True
Tan Wee Fong Trading,330024,Authorised Retailer,KALLANG,CENTRAL REGION,residential,101290.0,1,0,1.31862347782977,103.862324355167,360903,153163,5486,34562,12692,72,0.6999,1314326,511253,16062,168596,194889,193,0.718,2649674,941614,122501,472312,340717,372,0.73,11.0,34,108,142,1967,4167,2216,193.0,511253.0,466.5996316383169,0,1033984.78371051,0.0040103645959161,73.96716460707748,0.0640794223826714,0.00769898069833,7.910411676171351,427688.0,60.5925434433946,10.458143452623895,142,True,2.9066336831120886e-12,True
Chua Hong Kim Trading,550237,Authorised Retailer,SERANGOON,NORTH-EAST REGION,residential,116900.0,1,0,1.35381198342473,103.87013457465,509911,0,83592,4088,25809,90,0.9296,1889970,19983,105806,235333,124600,139,0.9638,4444602,81356,110969,395175,232334,197,0.9705,11.0,17,57,74,1306,4160,2877,139.0,19983.0,149.69400363230824,0,430669.6484501508,0.0016703749783262,30.808396100249777,0.0257212374000695,0.0040121448709607,7.781526253124081,399903.0,56.65611357027513,2.3042151675598506,74,True,6.168116551074465e-11,True
Singapore Pools Jalan Tiga Branch,390043,Branch,GEYLANG,CENTRAL REGION,residential,110110.0,1,0,1.30813368626522,103.884729523853,413429,20137,0,41477,21997,62,0.9536,1388700,266063,3412,192767,186662,84,0.8385,3091060,599707,29514,390964,771560,176,0.8348,12.0,12,65,77,2144,4178,2039,84.0,266063.0,226.38496163853412,0,461598.9367809711,0.0017903358567191,33.02095454132841,0.0377636096125551,0.0041747993927564,7.653339648076709,171276.0,24.26546564507504,10.705348275834575,77,True,9.579955776316153e-11,True
